hidden_layers=1, neurons_per_layer=64, activation=relu, accuracy=0.10000602900981903
hidden_layers=1, neurons_per_layer=64, activation=sigmoid, accuracy=0.8232457041740417
hidden_layers=1, neurons_per_layer=64, activation=tanh, accuracy=0.796018123626709
hidden_layers=1, neurons_per_layer=128, activation=relu, accuracy=0.23397812247276306
hidden_layers=1, neurons_per_layer=128, activation=sigmoid, accuracy=0.834357500076294
hidden_layers=1, neurons_per_layer=128, activation=tanh, accuracy=0.8086510300636292
hidden_layers=1, neurons_per_layer=256, activation=relu, accuracy=0.10003385692834854
hidden_layers=1, neurons_per_layer=256, activation=sigmoid, accuracy=0.8384942412376404
hidden_layers=1, neurons_per_layer=256, activation=tanh, accuracy=0.8187981843948364
hidden_layers=1, neurons_per_layer=512, activation=relu, accuracy=0.18755072355270386
hidden_layers=1, neurons_per_layer=512, activation=sigmoid, accuracy=0.845395028591156
hidden_layers=1, neurons_per_layer=512, activation=tanh, accuracy=0.8275355100631714
hidden_layers=2, neurons_per_layer=64, activation=relu, accuracy=0.09999211877584457
hidden_layers=2, neurons_per_layer=64, activation=sigmoid, accuracy=0.8157188296318054
hidden_layers=2, neurons_per_layer=64, activation=tanh, accuracy=0.7782095670700073
hidden_layers=2, neurons_per_layer=128, activation=relu, accuracy=0.1000153049826622
hidden_layers=2, neurons_per_layer=128, activation=sigmoid, accuracy=0.8313337564468384
hidden_layers=2, neurons_per_layer=128, activation=tanh, accuracy=0.8010175228118896
hidden_layers=2, neurons_per_layer=256, activation=relu, accuracy=0.10000139474868774
hidden_layers=2, neurons_per_layer=256, activation=sigmoid, accuracy=0.8386101722717285
hidden_layers=2, neurons_per_layer=256, activation=tanh, accuracy=0.8186590671539307
hidden_layers=2, neurons_per_layer=512, activation=relu, accuracy=0.09999675303697586
hidden_layers=2, neurons_per_layer=512, activation=sigmoid, accuracy=0.8446623086929321
hidden_layers=2, neurons_per_layer=512, activation=tanh, accuracy=0.825035810470581
hidden_layers=3, neurons_per_layer=64, activation=relu, accuracy=0.09999675303697586
hidden_layers=3, neurons_per_layer=64, activation=sigmoid, accuracy=0.6219490170478821
hidden_layers=3, neurons_per_layer=64, activation=tanh, accuracy=0.6956271529197693
hidden_layers=3, neurons_per_layer=128, activation=relu, accuracy=0.09999675303697586
hidden_layers=3, neurons_per_layer=128, activation=sigmoid, accuracy=0.7840344905853271
hidden_layers=3, neurons_per_layer=128, activation=tanh, accuracy=0.7961757779121399
hidden_layers=3, neurons_per_layer=256, activation=relu, accuracy=0.09999675303697586
hidden_layers=3, neurons_per_layer=256, activation=sigmoid, accuracy=0.8172677755355835
hidden_layers=3, neurons_per_layer=256, activation=tanh, accuracy=0.8094719052314758
hidden_layers=3, neurons_per_layer=512, activation=relu, accuracy=0.09999675303697586
hidden_layers=3, neurons_per_layer=512, activation=sigmoid, accuracy=0.833012580871582
hidden_layers=3, neurons_per_layer=512, activation=tanh, accuracy=0.824089765548706
hidden_layers=4, neurons_per_layer=64, activation=relu, accuracy=0.09999675303697586
hidden_layers=4, neurons_per_layer=64, activation=sigmoid, accuracy=0.1809745579957962
hidden_layers=4, neurons_per_layer=64, activation=tanh, accuracy=0.583530843257904
hidden_layers=4, neurons_per_layer=128, activation=relu, accuracy=0.09999675303697586
hidden_layers=4, neurons_per_layer=128, activation=sigmoid, accuracy=0.25171709060668945
hidden_layers=4, neurons_per_layer=128, activation=tanh, accuracy=0.7474713325500488
hidden_layers=4, neurons_per_layer=256, activation=relu, accuracy=0.09999675303697586
hidden_layers=4, neurons_per_layer=256, activation=sigmoid, accuracy=0.4819108843803406
hidden_layers=4, neurons_per_layer=256, activation=tanh, accuracy=0.8037304878234863
hidden_layers=4, neurons_per_layer=512, activation=relu, accuracy=0.09999675303697586
hidden_layers=4, neurons_per_layer=512, activation=sigmoid, accuracy=0.7717911005020142
hidden_layers=4, neurons_per_layer=512, activation=tanh, accuracy=0.8168364763259888
hidden_layers=5, neurons_per_layer=64, activation=relu, accuracy=0.09999675303697586
hidden_layers=5, neurons_per_layer=64, activation=sigmoid, accuracy=0.10000139474868774
hidden_layers=5, neurons_per_layer=64, activation=tanh, accuracy=0.5372193455696106
hidden_layers=5, neurons_per_layer=128, activation=relu, accuracy=0.09999675303697586
hidden_layers=5, neurons_per_layer=128, activation=sigmoid, accuracy=0.10000139474868774
hidden_layers=5, neurons_per_layer=128, activation=tanh, accuracy=0.6803044080734253
hidden_layers=5, neurons_per_layer=256, activation=relu, accuracy=0.09999675303697586
hidden_layers=5, neurons_per_layer=256, activation=sigmoid, accuracy=0.10000139474868774
hidden_layers=5, neurons_per_layer=256, activation=tanh, accuracy=0.7908703684806824
hidden_layers=5, neurons_per_layer=512, activation=relu, accuracy=0.09999675303697586
hidden_layers=5, neurons_per_layer=512, activation=sigmoid, accuracy=0.10000139474868774
hidden_layers=5, neurons_per_layer=512, activation=tanh, accuracy=0.8110718727111816


[0.10000602900981903, 0.8232457041740417, 0.796018123626709, 0.23397812247276306, 0.834357500076294, 0.8086510300636292, 0.10003385692834854, 0.8384942412376404, 0.8187981843948364, 0.18755072355270386, 0.845395028591156, 0.8275355100631714, 0.09999211877584457, 0.8157188296318054, 0.7782095670700073, 0.1000153049826622, 0.8313337564468384, 0.8010175228118896, 0.10000139474868774, 0.8386101722717285, 0.8186590671539307, 0.09999675303697586, 0.8446623086929321, 0.825035810470581, 0.09999675303697586, 0.6219490170478821, 0.6956271529197693, 0.09999675303697586, 0.7840344905853271, 0.7961757779121399, 0.09999675303697586, 0.8172677755355835, 0.8094719052314758, 0.09999675303697586, 0.833012580871582, 0.824089765548706, 0.09999675303697586, 0.1809745579957962, 0.583530843257904, 0.09999675303697586, 0.25171709060668945, 0.7474713325500488, 0.09999675303697586, 0.4819108843803406, 0.8037304878234863, 0.09999675303697586, 0.7717911005020142, 0.8168364763259888, 0.09999675303697586, 0.10000139474868774, 0.5372193455696106, 0.09999675303697586, 0.10000139474868774, 0.6803044080734253, 0.09999675303697586, 0.10000139474868774, 0.7908703684806824, 0.09999675303697586, 0.10000139474868774, 0.8110718727111816]


Наилучший показатель для:
